Año,Fecha,Estado,Organizacion,Unidad,Sector,Nombre_Interaccion,ID_Proyecto,Categoria,Tipo,Impacto Directo,Impacto Indirecto,Asistentes,Tipo de participación,Justificación de asistencia de EC,Resultado del evento,
2025,22/05/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Cocktail Tec,PQ_8,Relacionamiento,Evento,,,David P. y Maryel D.,,,,
2025,23/05/2025,QRO,UAQ,FACULTAD DE INGENIERIA,Institución Académica,Participación David ROBOUAQ,P_16,Relacionamiento,Evento,457,457,David P. y Maryel D.,asistente,,,
2025,23/05/2025,QRO,UAQ,FACULTAD DE INGENIERIA,Institución Académica,Jurado ROBOUAQ QRO,P_16,Estratégica,Evento,20,457,David P. / Maryel D. / Contiagent Miguel C.,asistente,,,
2025,29/05/2025,QRO,CEQ,NA,Cluster,Comité de innovación e investigación Cluster Energético de Querétaro CEQ,NA,Estratégica,Reunión,,,David P.,asistente,,,
2025,06/06/2025,QRO,IPN,REINVA,Institución Académica,Reunión Colaboración con la REINVA,P_07,Estratégica,Reunión,,,Maryel D./ Luis B. / ContiAgent Othon G. / Ali M.,,,,
2025,11/06/2025,CDMX,IPN,ESIME ,Institución Académica,Conferencia  BEIFI 2025 | ESIME 1,P_25,Transferencia de conocimiento,Conferencia,61,150,ContiAgent Angel E.,speaker,,,
2025,11/06/2025,CDMX,IPN,ESIME ,Institución Académica,Conferencia en BEIFI 2025 | ESIME 2,P_26,Transferencia de conocimiento,Conferencia,74,150,ContiAgent Jose P.,asistente,,,
2025,11/06/2025,CDMX,IPN,ESIME ,Institución Académica,Conferencia en BEIFI 2025 | ESIME 3,P_27,Transferencia de conocimiento,Conferencia,,,ContiAgent Alejandro T.,asistente,,,
2025,12/06/2025,CDMX,IPN,ESIME ,Institución Académica,Conferencia en BEIFI 2025 | ESIME 4,P_28,Transferencia de conocimiento,Conferencia,,,Sergio Salazar,panelista,,,
2025,13/06/2025,QRO,UPQ,NA,Institución Académica,Reunión Action Plan UPQ,PQ_20,Estratégica,Reunión,,,ContiAgent Sergio M. / Maryel D. / Ali M.,asistente,,,
